,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
39,meanMLP,HCP Schaefer 200 ROI,0.9508797653958944,0.8866666666666667,40.279595136642456,0.000948495864868164,32802,None
40,meanMLP,HCP Schaefer 200 ROI,0.9140395894428152,0.8266666666666667,35.35392618179321,0.0009349918365478516,32802,None
41,meanMLP,HCP Schaefer 200 ROI,0.9316348973607038,0.8333333333333334,53.28439712524414,0.0009655364354451498,32802,None
42,meanMLP,HCP Schaefer 200 ROI,0.941715542521994,0.8666666666666667,45.14619874954224,0.000960383415222168,32802,None
43,meanMLP,HCP Schaefer 200 ROI,0.9191715542521994,0.84,35.28397488594055,0.0008207829793294271,32802,None
44,meanMLP,HCP Schaefer 200 ROI,0.9265029325513195,0.8333333333333334,56.56013059616089,0.000963902473449707,32802,None
45,meanMLP,HCP Schaefer 200 ROI,0.9455645161290324,0.8733333333333333,37.87575936317444,0.000960057576497396,32802,None
46,meanMLP,HCP Schaefer 200 ROI,0.9171554252199412,0.8133333333333334,43.95732617378235,0.0009665362040201824,32802,None
47,meanMLP,HCP Schaefer 200 ROI,0.9166055718475072,0.84,41.03735327720642,0.000959633191426595,32802,None
48,meanMLP,HCP Schaefer 200 ROI,0.907991202346041,0.8133333333333334,47.84588408470154,0.0008591747283935547,32802,None
49,meanMLP,HCP Schaefer 200 ROI,0.9158724340175952,0.84,59.21776485443115,0.0009674437840779624,32802,None
0,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.899375,0.8222222222222222,20.730893850326535,0.0007783293724060059,32802,None
1,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8961250000000001,0.7611111111111111,21.721246480941772,0.0008368015289306641,32802,None
2,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.916125,0.8388888888888889,22.55817747116089,0.0007898608843485514,32802,None
3,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.883,0.8111111111111111,24.80308842658997,0.0007921934127807617,32802,None
4,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.9045,0.8222222222222222,23.378540515899655,0.000797026687198215,32802,None
5,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.911375,0.8,21.973613739013672,0.0008209745089213053,32802,None
6,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.913875,0.8277777777777777,23.724451541900635,0.0006551557117038303,32802,None
7,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.9065,0.7833333333333333,25.145771980285645,0.000651799307929145,32802,None
8,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.903375,0.8055555555555556,20.73843455314636,0.0006483991940816244,32802,None
9,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.89325,0.7777777777777778,21.283060550689697,0.0007919708887736003,32802,None
10,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.916875,0.8277777777777777,21.705236196517944,0.0006908403502570258,32802,None
11,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.910625,0.8,22.76436138153076,0.0007913841141594781,32802,None
12,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.908125,0.8111111111111111,26.948614835739136,0.0008120298385620117,32802,None
13,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.900375,0.8111111111111111,23.403961420059204,0.0007896555794609918,32802,None
14,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.912125,0.8277777777777777,28.009916305541992,0.000814260376824273,32802,None
15,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.90925,0.8111111111111111,24.247863292694092,0.0006490137841966417,32802,None
16,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.912375,0.8388888888888889,24.086597204208378,0.0008167942365010579,32802,None
17,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.913875,0.8388888888888889,22.78450584411621,0.0006604419814215766,32802,None
18,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.89825,0.7777777777777778,22.97805881500244,0.0008157663875155978,32802,None
19,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.915875,0.8277777777777777,21.842509269714355,0.0006584948963589139,32802,None
20,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8641772151898734,0.770949720670391,25.406823873519897,0.0008294928673259372,32802,None
21,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8560759493670885,0.7988826815642458,24.68082046508789,0.0006616475195858066,32802,None
22,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8446835443037974,0.7653631284916201,23.543484687805176,0.0008334087925916277,32802,None
23,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8593670886075949,0.7597765363128491,26.66164541244507,0.0006608017330063121,32802,None
24,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8445569620253165,0.7430167597765364,24.661075830459595,0.0007923421913019105,32802,None
25,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8624050632911393,0.7653631284916201,25.74832010269165,0.000669378142117122,32802,None
26,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8553164556962025,0.7877094972067039,23.702364921569824,0.0008025542317821993,32802,None
